"Orthogroup" "dana_prot" "dmel_prot" "dmoj_prot" "dper_prot" "dpse_prot" "dvir_prot" "dwil_prot" "dyak_prot"
"21" "OG0001874" "YOgnAN00236" "YOgnME08320" "YOgnMO08693" "YOgnPE14822" "YOgnPS03415" "YOgnVI09710" "YOgnWI14239" "YOgnYA10653"
"22" "OG0001875" "YOgnAN00246" "YOgnME09973" "YOgnMO09068" "YOgnPE14816" "YOgnPS03406" "YOgnVI10409" "YOgnWI14231" "YOgnYA08854"
"23" "OG0001876" "YOgnAN00254" "YOgnME12958" "YOgnMO10907" "YOgnPE09500" "YOgnPS01268" "YOgnVI11526" "YOgnWI12286" "YOgnYA10801"
"24" "OG0001877" "YOgnAN00255" "YOgnME12957" "YOgnMO11121" "YOgnPE09407" "YOgnPS01171" "YOgnVI10693" "YOgnWI12288" "YOgnYA10800"
"25" "OG0001878" "YOgnAN00257" "YOgnME12955" "YOgnMO11119" "YOgnPE09409" "YOgnPS01173" "YOgnVI10695" "YOgnWI12290" "YOgnYA10798"
"26" "OG0001879" "YOgnAN00260" "YOgnME12954" "YOgnMO11118" "YOgnPE14685" "YOgnPS01770" "YOgnVI10696" "YOgnWI12292" "YOgnYA10796"
"27" "OG0001880" "YOgnAN00261" "YOgnME12953" "YOgnMO11116" "YOgnPE14686" "YOgnPS01771" "YOgnVI10697" "YOgnWI12293" "YOgnYA10795"
"28" "OG0001881" "YOgnAN00262" "YOgnME12952" "YOgnMO11115" "YOgnPE14687" "YOgnPS01772" "YOgnVI10698" "YOgnWI12294" "YOgnYA10794"
"29" "OG0001882" "YOgnAN00264" "YOgnME11164" "YOgnMO09604" "YOgnPE14837" "YOgnPS03433" "YOgnVI10938" "YOgnWI13028" "YOgnYA09165"
"30" "OG0001884" "YOgnAN00267" "YOgnME13140" "YOgnMO09606" "YOgnPE14834" "YOgnPS03431" "YOgnVI10935" "YOgnWI14415" "YOgnYA10986"
"31" "OG0001885" "YOgnAN00271" "YOgnME10524" "YOgnMO09609" "YOgnPE14831" "YOgnPS03428" "YOgnVI10932" "YOgnWI13548" "YOgnYA11684"
"32" "OG0001887" "YOgnAN00282" "YOgnME13404" "YOgnMO08742" "YOgnPE15737" "YOgnPS00128" "YOgnVI09755" "YOgnWI13981" "YOgnYA10466"
"33" "OG0001888" "YOgnAN00284" "YOgnME13402" "YOgnMO08745" "YOgnPE15739" "YOgnPS00130" "YOgnVI09758" "YOgnWI13979" "YOgnYA10468"
"34" "OG0001889" "YOgnAN00285" "YOgnME13401" "YOgnMO08746" "YOgnPE15740" "YOgnPS00131" "YOgnVI09759" "YOgnWI13921" "YOgnYA10469"
"35" "OG0001890" "YOgnAN00286" "YOgnME13399" "YOgnMO10486" "YOgnPE15741" "YOgnPS00132" "YOgnVI10737" "YOgnWI13920" "YOgnYA10470"
"36" "OG0001891" "YOgnAN00288" "YOgnME12521" "YOgnMO08762" "YOgnPE10060" "YOgnPS03252" "YOgnVI09793" "YOgnWI09699" "YOgnYA11376"
"37" "OG0001892" "YOgnAN00289" "YOgnME12520" "YOgnMO08763" "YOgnPE10059" "YOgnPS03251" "YOgnVI09794" "YOgnWI09700" "YOgnYA11375"
"38" "OG0001893" "YOgnAN00290" "YOgnME12370" "YOgnMO09508" "YOgnPE01232" "YOgnPS00742" "YOgnVI10533" "YOgnWI10651" "YOgnYA11233"
"39" "OG0001894" "YOgnAN00292" "YOgnME12367" "YOgnMO09510" "YOgnPE01229" "YOgnPS00744" "YOgnVI10535" "YOgnWI10649" "YOgnYA11230"
"40" "OG0001895" "YOgnAN00296" "YOgnME12365" "YOgnMO09504" "YOgnPE01225" "YOgnPS00747" "YOgnVI10529" "YOgnWI10646" "YOgnYA11226"
"41" "OG0001896" "YOgnAN00299" "YOgnME13083" "YOgnMO09972" "YOgnPE15802" "YOgnPS00002" "YOgnVI10230" "YOgnWI12220" "YOgnYA10936"
"42" "OG0001897" "YOgnAN00303" "YOgnME13079" "YOgnMO09976" "YOgnPE00295" "YOgnPS02816" "YOgnVI10234" "YOgnWI12227" "YOgnYA10932"
"43" "OG0001898" "YOgnAN00310" "YOgnME10888" "YOgnMO11020" "YOgnPE00951" "YOgnPS01020" "YOgnVI01442" "YOgnWI12236" "YOgnYA11345"
"44" "OG0001899" "YOgnAN00311" "YOgnME11016" "YOgnMO11019" "YOgnPE00950" "YOgnPS01021" "YOgnVI01443" "YOgnWI12237" "YOgnYA09023"
"45" "OG0001900" "YOgnAN00316" "YOgnME11020" "YOgnMO11016" "YOgnPE01022" "YOgnPS00941" "YOgnVI01446" "YOgnWI12244" "YOgnYA09027"
"46" "OG0001901" "YOgnAN00320" "YOgnME11023" "YOgnMO09522" "YOgnPE01019" "YOgnPS00946" "YOgnVI11665" "YOgnWI10063" "YOgnYA09030"
"47" "OG0001902" "YOgnAN00327" "YOgnME12776" "YOgnMO10134" "YOgnPE15619" "YOgnPS02161" "YOgnVI01947" "YOgnWI10490" "YOgnYA09769"
"48" "OG0001903" "YOgnAN00328" "YOgnME12775" "YOgnMO10135" "YOgnPE15620" "YOgnPS02160" "YOgnVI01948" "YOgnWI10489" "YOgnYA09770"
"49" "OG0001904" "YOgnAN00329" "YOgnME12774" "YOgnMO10136" "YOgnPE15621" "YOgnPS02159" "YOgnVI01949" "YOgnWI10488" "YOgnYA09771"
"50" "OG0001905" "YOgnAN00331" "YOgnME12772" "YOgnMO11920" "YOgnPE00473" "YOgnPS02641" "YOgnVI01540" "YOgnWI09965" "YOgnYA09773"
"51" "OG0001906" "YOgnAN00335" "YOgnME13758" "YOgnMO10647" "YOgnPE16171" "YOgnPS01940" "YOgnVI02564" "YOgnWI13756" "YOgnYA12405"
"52" "OG0001907" "YOgnAN00339" "YOgnME13894" "YOgnMO10064" "YOgnPE00378" "YOgnPS02736" "YOgnVI11272" "YOgnWI13105" "YOgnYA12525"
"53" "OG0001908" "YOgnAN00348" "YOgnME11919" "YOgnMO10876" "YOgnPE00217" "YOgnPS02887" "YOgnVI11177" "YOgnWI10133" "YOgnYA10637"
"54" "OG0001909" "YOgnAN00350" "YOgnME13883" "YOgnMO09130" "YOgnPE00947" "YOgnPS01024" "YOgnVI10165" "YOgnWI10810" "YOgnYA12515"
"55" "OG0001910" "YOgnAN00356" "YOgnME13876" "YOgnMO08889" "YOgnPE00107" "YOgnPS00492" "YOgnVI10170" "YOgnWI10429" "YOgnYA12512"
"56" "OG0001911" "YOgnAN00357" "YOgnME13875" "YOgnMO08891" "YOgnPE00108" "YOgnPS00493" "YOgnVI10172" "YOgnWI10428" "YOgnYA12511"
"57" "OG0001912" "YOgnAN00358" "YOgnME13874" "YOgnMO08892" "YOgnPE00109" "YOgnPS00494" "YOgnVI10173" "YOgnWI10427" "YOgnYA12510"
"58" "OG0001913" "YOgnAN00360" "YOgnME11612" "YOgnMO08981" "YOgnPE00112" "YOgnPS00497" "YOgnVI11205" "YOgnWI10424" "YOgnYA12153"
"59" "OG0001915" "YOgnAN00373" "YOgnME11627" "YOgnMO10728" "YOgnPE00125" "YOgnPS00510" "YOgnVI10196" "YOgnWI10519" "YOgnYA12138"
"60" "OG0001916" "YOgnAN00375" "YOgnME11628" "YOgnMO10817" "YOgnPE00126" "YOgnPS00511" "YOgnVI11391" "YOgnWI09900" "YOgnYA12137"
"61" "OG0001917" "YOgnAN00378" "YOgnME11631" "YOgnMO11623" "YOgnPE00129" "YOgnPS00514" "YOgnVI10113" "YOgnWI09903" "YOgnYA12134"
"62" "OG0001918" "YOgnAN00385" "YOgnME11742" "YOgnMO11621" "YOgnPE00132" "YOgnPS00517" "YOgnVI10117" "YOgnWI09905" "YOgnYA12026"
"63" "OG0001919" "YOgnAN00386" "YOgnME11743" "YOgnMO11620" "YOgnPE00133" "YOgnPS00518" "YOgnVI10118" "YOgnWI09906" "YOgnYA12025"
"64" "OG0001920" "YOgnAN00387" "YOgnME11744" "YOgnMO11173" "YOgnPE00134" "YOgnPS00519" "YOgnVI11461" "YOgnWI09907" "YOgnYA12024"
"65" "OG0001921" "YOgnAN00389" "YOgnME11746" "YOgnMO10824" "YOgnPE00136" "YOgnPS00521" "YOgnVI01407" "YOgnWI09909" "YOgnYA12022"
"66" "OG0001922" "YOgnAN00399" "YOgnME13841" "YOgnMO09896" "YOgnPE15837" "YOgnPS00031" "YOgnVI01940" "YOgnWI14058" "YOgnYA12479"
"67" "OG0001923" "YOgnAN00407" "YOgnME13836" "YOgnMO10047" "YOgnPE15844" "YOgnPS00038" "YOgnVI11290" "YOgnWI14055" "YOgnYA12472"
"68" "OG0001924" "YOgnAN00412" "YOgnME13831" "YOgnMO10051" "YOgnPE15849" "YOgnPS00041" "YOgnVI11287" "YOgnWI14049" "YOgnYA12468"
"69" "OG0001925" "YOgnAN00415" "YOgnME13825" "YOgnMO10053" "YOgnPE15852" "YOgnPS00044" "YOgnVI11284" "YOgnWI14047" "YOgnYA12464"
"70" "OG0001926" "YOgnAN00422" "YOgnME13816" "YOgnMO10060" "YOgnPE15864" "YOgnPS00055" "YOgnVI11276" "YOgnWI14042" "YOgnYA12458"
"71" "OG0001927" "YOgnAN00429" "YOgnME13809" "YOgnMO11192" "YOgnPE15893" "YOgnPS00085" "YOgnVI11483" "YOgnWI14039" "YOgnYA12452"
"72" "OG0001928" "YOgnAN00431" "YOgnME13808" "YOgnMO11191" "YOgnPE15894" "YOgnPS00086" "YOgnVI11482" "YOgnWI14038" "YOgnYA12451"
"73" "OG0001929" "YOgnAN00433" "YOgnME13806" "YOgnMO11189" "YOgnPE15896" "YOgnPS00088" "YOgnVI11480" "YOgnWI14036" "YOgnYA12449"
"74" "OG0001930" "YOgnAN00439" "YOgnME13803" "YOgnMO11187" "YOgnPE15900" "YOgnPS00090" "YOgnVI11478" "YOgnWI14034" "YOgnYA12446"
"75" "OG0001931" "YOgnAN00440" "YOgnME13802" "YOgnMO11186" "YOgnPE15901" "YOgnPS00091" "YOgnVI11477" "YOgnWI14033" "YOgnYA12445"
"76" "OG0001932" "YOgnAN00449" "YOgnME11759" "YOgnMO10889" "YOgnPE15766" "YOgnPS00149" "YOgnVI01890" "YOgnWI09913" "YOgnYA12008"
"77" "OG0001933" "YOgnAN00453" "YOgnME11761" "YOgnMO10888" "YOgnPE15767" "YOgnPS00150" "YOgnVI01891" "YOgnWI09914" "YOgnYA12005"
"78" "OG0001934" "YOgnAN00457" "YOgnME11765" "YOgnMO10886" "YOgnPE15770" "YOgnPS00153" "YOgnVI01893" "YOgnWI09917" "YOgnYA12000"
"79" "OG0001935" "YOgnAN00458" "YOgnME11767" "YOgnMO10885" "YOgnPE15771" "YOgnPS00154" "YOgnVI01894" "YOgnWI09918" "YOgnYA11999"
"80" "OG0001936" "YOgnAN00459" "YOgnME11768" "YOgnMO10884" "YOgnPE15772" "YOgnPS00157" "YOgnVI01895" "YOgnWI09919" "YOgnYA11998"
"81" "OG0001938" "YOgnAN00463" "YOgnME11772" "YOgnMO10633" "YOgnPE15776" "YOgnPS00158" "YOgnVI01898" "YOgnWI09924" "YOgnYA11993"
"82" "OG0001939" "YOgnAN00471" "YOgnME11778" "YOgnMO09874" "YOgnPE15784" "YOgnPS00164" "YOgnVI01916" "YOgnWI09931" "YOgnYA11985"
"83" "OG0001940" "YOgnAN00472" "YOgnME11779" "YOgnMO09875" "YOgnPE15785" "YOgnPS00165" "YOgnVI01917" "YOgnWI09932" "YOgnYA11984"
"84" "OG0001941" "YOgnAN00476" "YOgnME11783" "YOgnMO09879" "YOgnPE00759" "YOgnPS02334" "YOgnVI01921" "YOgnWI09936" "YOgnYA11980"
"85" "OG0001942" "YOgnAN00478" "YOgnME11784" "YOgnMO09880" "YOgnPE00758" "YOgnPS02333" "YOgnVI01922" "YOgnWI09937" "YOgnYA11979"
"86" "OG0001943" "YOgnAN00479" "YOgnME11255" "YOgnMO11879" "YOgnPE00403" "YOgnPS02714" "YOgnVI01499" "YOgnWI09724" "YOgnYA10063"
"87" "OG0001944" "YOgnAN00500" "YOgnME12208" "YOgnMO10587" "YOgnPE14945" "YOgnPS03537" "YOgnVI02718" "YOgnWI10724" "YOgnYA15768"
"88" "OG0001945" "YOgnAN00505" "YOgnME10989" "YOgnMO09162" "YOgnPE09953" "YOgnPS03134" "YOgnVI10560" "YOgnWI12556" "YOgnYA08997"
"89" "OG0001946" "YOgnAN00508" "YOgnME10986" "YOgnMO09416" "YOgnPE09874" "YOgnPS03054" "YOgnVI11687" "YOgnWI12559" "YOgnYA08994"
"90" "OG0001947" "YOgnAN00510" "YOgnME10984" "YOgnMO09414" "YOgnPE09876" "YOgnPS03056" "YOgnVI11689" "YOgnWI12561" "YOgnYA08992"
"91" "OG0001948" "YOgnAN00511" "YOgnME10983" "YOgnMO09413" "YOgnPE15067" "YOgnPS03649" "YOgnVI11690" "YOgnWI12562" "YOgnYA08991"
"92" "OG0001949" "YOgnAN00513" "YOgnME10981" "YOgnMO09410" "YOgnPE15069" "YOgnPS03651" "YOgnVI11693" "YOgnWI12565" "YOgnYA08989"
"93" "OG0001950" "YOgnAN00515" "YOgnME13138" "YOgnMO11309" "YOgnPE14479" "YOgnPS01560" "YOgnVI09928" "YOgnWI14389" "YOgnYA10983"
"94" "OG0001952" "YOgnAN00518" "YOgnME10375" "YOgnMO11313" "YOgnPE14476" "YOgnPS01557" "YOgnVI09925" "YOgnWI13546" "YOgnYA09417"
"95" "OG0001953" "YOgnAN00520" "YOgnME12511" "YOgnMO11315" "YOgnPE14474" "YOgnPS01555" "YOgnVI09924" "YOgnWI14416" "YOgnYA09873"
"96" "OG0001954" "YOgnAN00523" "YOgnME12513" "YOgnMO11265" "YOgnPE14472" "YOgnPS01553" "YOgnVI10895" "YOgnWI13505" "YOgnYA09871"
"97" "OG0001955" "YOgnAN00526" "YOgnME12515" "YOgnMO11267" "YOgnPE14470" "YOgnPS01551" "YOgnVI10897" "YOgnWI13503" "YOgnYA09868"
"98" "OG0001956" "YOgnAN00527" "YOgnME09538" "YOgnMO12526" "YOgnPE11038" "YOgnPS14409" "YOgnVI11978" "YOgnWI01469" "YOgnYA06916"
"99" "OG0001957" "YOgnAN00532" "YOgnME11428" "YOgnMO08729" "YOgnPE16048" "YOgnPS01989" "YOgnVI09743" "YOgnWI13039" "YOgnYA12323"
"100" "OG0001959" "YOgnAN00540" "YOgnME10386" "YOgnMO11210" "YOgnPE00480" "YOgnPS02634" "YOgnVI11499" "YOgnWI09972" "YOgnYA09426"
"101" "OG0001960" "YOgnAN00543" "YOgnME10383" "YOgnMO11202" "YOgnPE00477" "YOgnPS02637" "YOgnVI11491" "YOgnWI09969" "YOgnYA09423"
"102" "OG0001961" "YOgnAN00548" "YOgnME11110" "YOgnMO11658" "YOgnPE16108" "YOgnPS01870" "YOgnVI11236" "YOgnWI12499" "YOgnYA09115"
"103" "OG0001965" "YOgnAN00566" "YOgnME13002" "YOgnMO09297" "YOgnPE00308" "YOgnPS02797" "YOgnVI01619" "YOgnWI12515" "YOgnYA10845"
"104" "OG0001966" "YOgnAN00569" "YOgnME13005" "YOgnMO11174" "YOgnPE00306" "YOgnPS02799" "YOgnVI11463" "YOgnWI12519" "YOgnYA10847"
"105" "OG0001967" "YOgnAN00570" "YOgnME13006" "YOgnMO11668" "YOgnPE00305" "YOgnPS02800" "YOgnVI10372" "YOgnWI14186" "YOgnYA10848"
"106" "OG0001968" "YOgnAN00574" "YOgnME11361" "YOgnMO08858" "YOgnPE01058" "YOgnPS00906" "YOgnVI01608" "YOgnWI10624" "YOgnYA12387"
"107" "OG0001969" "YOgnAN00579" "YOgnME12575" "YOgnMO09407" "YOgnPE16101" "YOgnPS02043" "YOgnVI01475" "YOgnWI13615" "YOgnYA11427"
"108" "OG0001970" "YOgnAN00580" "YOgnME10768" "YOgnMO11830" "YOgnPE15944" "YOgnPS00265" "YOgnVI02461" "YOgnWI09803" "YOgnYA11595"
"109" "OG0001971" "YOgnAN00581" "YOgnME10767" "YOgnMO11831" "YOgnPE15945" "YOgnPS00264" "YOgnVI02462" "YOgnWI09802" "YOgnYA11596"
"110" "OG0001972" "YOgnAN00584" "YOgnME10764" "YOgnMO10245" "YOgnPE01220" "YOgnPS00752" "YOgnVI01376" "YOgnWI10641" "YOgnYA11599"
"111" "OG0001973" "YOgnAN00585" "YOgnME10763" "YOgnMO10244" "YOgnPE01221" "YOgnPS00751" "YOgnVI01375" "YOgnWI10642" "YOgnYA11600"
"112" "OG0001974" "YOgnAN00587" "YOgnME11810" "YOgnMO08897" "YOgnPE15878" "YOgnPS00068" "YOgnVI02050" "YOgnWI12874" "YOgnYA10539"
"113" "OG0001975" "YOgnAN00592" "YOgnME11924" "YOgnMO11772" "YOgnPE01101" "YOgnPS00865" "YOgnVI10263" "YOgnWI13977" "YOgnYA10640"
"114" "OG0001976" "YOgnAN00593" "YOgnME11923" "YOgnMO11773" "YOgnPE01102" "YOgnPS00864" "YOgnVI10262" "YOgnWI13978" "YOgnYA10639"
"115" "OG0001977" "YOgnAN00596" "YOgnME11917" "YOgnMO10877" "YOgnPE00215" "YOgnPS02888" "YOgnVI11178" "YOgnWI10132" "YOgnYA10636"
"116" "OG0001978" "YOgnAN00597" "YOgnME11916" "YOgnMO10878" "YOgnPE00214" "YOgnPS02889" "YOgnVI11179" "YOgnWI10131" "YOgnYA10635"
"117" "OG0001979" "YOgnAN00599" "YOgnME11913" "YOgnMO10881" "YOgnPE00211" "YOgnPS02891" "YOgnVI11181" "YOgnWI10129" "YOgnYA10633"
"118" "OG0001980" "YOgnAN00600" "YOgnME11912" "YOgnMO10882" "YOgnPE00209" "YOgnPS02892" "YOgnVI11182" "YOgnWI10128" "YOgnYA10631"
"119" "OG0001981" "YOgnAN00606" "YOgnME11906" "YOgnMO10643" "YOgnPE00841" "YOgnPS02406" "YOgnVI11191" "YOgnWI09749" "YOgnYA10625"
"120" "OG0001982" "YOgnAN00607" "YOgnME11905" "YOgnMO10644" "YOgnPE00842" "YOgnPS02407" "YOgnVI11192" "YOgnWI09748" "YOgnYA10624"
"121" "OG0001983" "YOgnAN00608" "YOgnME13566" "YOgnMO10730" "YOgnPE00843" "YOgnPS02408" "YOgnVI10194" "YOgnWI04954" "YOgnYA10319"
"122" "OG0001984" "YOgnAN00616" "YOgnME13575" "YOgnMO10742" "YOgnPE00852" "YOgnPS02415" "YOgnVI10183" "YOgnWI10049" "YOgnYA10308"
"123" "OG0001985" "YOgnAN00618" "YOgnME13577" "YOgnMO10744" "YOgnPE00854" "YOgnPS10068" "YOgnVI10181" "YOgnWI10047" "YOgnYA10306"
"124" "OG0001986" "YOgnAN00622" "YOgnME13581" "YOgnMO10750" "YOgnPE00859" "YOgnPS02420" "YOgnVI10176" "YOgnWI10043" "YOgnYA10302"
"125" "OG0001987" "YOgnAN00624" "YOgnME13583" "YOgnMO08980" "YOgnPE00861" "YOgnPS02421" "YOgnVI11206" "YOgnWI09827" "YOgnYA10300"
"126" "OG0001988" "YOgnAN00637" "YOgnME13684" "YOgnMO09934" "YOgnPE00867" "YOgnPS02429" "YOgnVI11113" "YOgnWI10591" "YOgnYA10210"
"127" "OG0001989" "YOgnAN00638" "YOgnME13685" "YOgnMO09933" "YOgnPE00869" "YOgnPS02430" "YOgnVI11114" "YOgnWI10592" "YOgnYA10209"
"128" "OG0001990" "YOgnAN00639" "YOgnME13686" "YOgnMO09475" "YOgnPE00870" "YOgnPS02431" "YOgnVI10492" "YOgnWI10593" "YOgnYA10208"
"129" "OG0001991" "YOgnAN00640" "YOgnME13687" "YOgnMO09474" "YOgnPE00871" "YOgnPS02432" "YOgnVI10491" "YOgnWI10594" "YOgnYA10207"
"130" "OG0001992" "YOgnAN00642" "YOgnME13689" "YOgnMO09075" "YOgnPE00873" "YOgnPS02434" "YOgnVI01580" "YOgnWI10595" "YOgnYA10205"
"131" "OG0001993" "YOgnAN00643" "YOgnME11877" "YOgnMO11586" "YOgnPE16130" "YOgnPS01895" "YOgnVI02445" "YOgnWI12117" "YOgnYA10599"
"132" "OG0001994" "YOgnAN00645" "YOgnME11873" "YOgnMO11588" "YOgnPE16136" "YOgnPS01904" "YOgnVI02447" "YOgnWI13170" "YOgnYA10595"
"133" "OG0001995" "YOgnAN00652" "YOgnME11867" "YOgnMO11758" "YOgnPE16143" "YOgnPS01910" "YOgnVI10281" "YOgnWI13163" "YOgnYA10589"
"134" "OG0001996" "YOgnAN00655" "YOgnME11864" "YOgnMO11760" "YOgnPE16146" "YOgnPS01914" "YOgnVI10276" "YOgnWI13160" "YOgnYA10586"
"135" "OG0001997" "YOgnAN00656" "YOgnME11863" "YOgnMO11761" "YOgnPE16147" "YOgnPS01915" "YOgnVI10278" "YOgnWI13158" "YOgnYA10585"
"136" "OG0001998" "YOgnAN00697" "YOgnME13715" "YOgnMO08887" "YOgnPE16088" "YOgnPS02028" "YOgnVI02411" "YOgnWI10605" "YOgnYA10180"
"137" "OG0001999" "YOgnAN00706" "YOgnME13723" "YOgnMO11569" "YOgnPE16095" "YOgnPS02036" "YOgnVI02430" "YOgnWI10612" "YOgnYA10171"
"138" "OG0002000" "YOgnAN00707" "YOgnME13725" "YOgnMO11570" "YOgnPE00044" "YOgnPS00435" "YOgnVI02431" "YOgnWI10613" "YOgnYA10170"
"139" "OG0002001" "YOgnAN00708" "YOgnME13728" "YOgnMO11571" "YOgnPE00043" "YOgnPS00434" "YOgnVI02432" "YOgnWI10614" "YOgnYA10169"
"140" "OG0002002" "YOgnAN00709" "YOgnME13729" "YOgnMO11572" "YOgnPE00042" "YOgnPS00433" "YOgnVI02433" "YOgnWI10615" "YOgnYA10168"
"141" "OG0002003" "YOgnAN00710" "YOgnME13217" "YOgnMO10193" "YOgnPE01123" "YOgnPS00841" "YOgnVI01323" "YOgnWI10411" "YOgnYA11851"
"142" "OG0002004" "YOgnAN00715" "YOgnME01897" "YOgnMO08094" "YOgnPE02984" "YOgnPS09177" "YOgnVI07861" "YOgnWI06918" "YOgnYA01655"
"143" "OG0002005" "YOgnAN00717" "YOgnME01895" "YOgnMO05863" "YOgnPE02982" "YOgnPS09175" "YOgnVI07807" "YOgnWI04407" "YOgnYA01654"
"144" "OG0002006" "YOgnAN00735" "YOgnME00212" "YOgnMO06746" "YOgnPE02770" "YOgnPS08773" "YOgnVI06852" "YOgnWI06550" "YOgnYA00169"
"145" "OG0002007" "YOgnAN00736" "YOgnME00211" "YOgnMO06745" "YOgnPE02769" "YOgnPS08772" "YOgnVI06851" "YOgnWI06548" "YOgnYA00168"
"146" "OG0002008" "YOgnAN00742" "YOgnME00204" "YOgnMO07262" "YOgnPE02763" "YOgnPS08767" "YOgnVI06790" "YOgnWI04244" "YOgnYA00163"
"147" "OG0002009" "YOgnAN00751" "YOgnME02211" "YOgnMO06427" "YOgnPE13343" "YOgnPS07184" "YOgnVI06491" "YOgnWI07212" "YOgnYA00407"
"148" "OG0002010" "YOgnAN00755" "YOgnME00562" "YOgnMO06356" "YOgnPE13348" "YOgnPS07169" "YOgnVI06339" "YOgnWI04685" "YOgnYA01851"
"149" "OG0002011" "YOgnAN00757" "YOgnME00564" "YOgnMO06358" "YOgnPE13350" "YOgnPS07167" "YOgnVI06341" "YOgnWI04687" "YOgnYA01849"
"150" "OG0002012" "YOgnAN00759" "YOgnME00565" "YOgnMO07887" "YOgnPE13352" "YOgnPS07165" "YOgnVI00786" "YOgnWI04689" "YOgnYA01847"
"151" "OG0002013" "YOgnAN00766" "YOgnME02869" "YOgnMO07605" "YOgnPE13210" "YOgnPS09369" "YOgnVI00488" "YOgnWI06770" "YOgnYA01383"
"152" "OG0002014" "YOgnAN00775" "YOgnME02864" "YOgnMO06238" "YOgnPE13218" "YOgnPS09358" "YOgnVI00760" "YOgnWI07159" "YOgnYA01387"
"153" "OG0002016" "YOgnAN00783" "YOgnME02851" "YOgnMO06103" "YOgnPE03645" "YOgnPS09354" "YOgnVI00804" "YOgnWI07152" "YOgnYA01397"
